tokens,k_name,latency_ns,start,end
16,distribution_elementwise_grid_stride_kernel,1632,2034878224,2034879856
16,distribution_elementwise_grid_stride_kernel,3520,2034933264,2034936784
16,distribution_elementwise_grid_stride_kernel,3328,2512776364,2512779692
16,BatchDecodeWithPagedKVCacheKernel,3424,2543304428,2543307852
32,distribution_elementwise_grid_stride_kernel,3552,2543571372,2543574924
32,BatchDecodeWithPagedKVCacheKernel,3360,2544345740,2544349100
48,distribution_elementwise_grid_stride_kernel,3296,2544555852,2544559148
48,BatchDecodeWithPagedKVCacheKernel,4096,2545296716,2545300812
64,distribution_elementwise_grid_stride_kernel,3328,2545503980,2545507308
64,BatchDecodeWithPagedKVCacheKernel,4544,2546189900,2546194444
80,distribution_elementwise_grid_stride_kernel,5280,2546391244,2546396524
80,BatchDecodeWithPagedKVCacheKernel,5344,2547096940,2547102284
96,distribution_elementwise_grid_stride_kernel,5280,2547349004,2547354284
96,BatchDecodeWithPagedKVCacheKernel,5728,2548076908,2548082636
